AUTHOR	UUIDS	PMIDS	PI	NUMPAPERS
Albers AM	dd303173-b519-34ca-a8aa-50f1fa8a4403	22766165	0	1
Albers J	002919a0-0fd5-336b-9449-10434b287f37	20541018	0	1
Albert J	5527bf09-ffc6-37cd-affe-79f346966403	22689218	0	1
Albert ML	439e0f8f-8d69-3b62-9ac0-c1c1534a168a	20399492	1	1
Albert MS	c8c1f498-dc8a-3a1d-b275-967116b9b6a6	16399218,16298252,17021177	1	3
Albert N	cb223369-776a-3b04-b82f-a75f672dffe8	16400162	0	1
Albert NB	37fd5a61-42c5-3a46-84d3-2062a12144c9	21391252	0	1
Albertini G	88383bfa-f3cc-35a8-a95f-eb8005153630	22658819,19299197	0	2
Albistegui-Dubois RM	5d8ee6c7-cbee-3417-b4d4-ddceabacfc76	18675363	0	1
Albouy G	9ab2f743-4fd0-3c2c-8cab-3dfd9120f7eb	19732838,18043754,17404390,19386910,16702002,23436504,16837589,18698363,22732556,19193886,23595741	0	11
Albrecht D	fea512f7-0272-3ded-9d7b-ccef08545e4c	20702070	0	1
Albrecht J	f7e40c3b-4128-3e3f-9655-bbd50f1288c1	21305668,21078400,16631383,18381635	0	4
Albucher JF	8180ddf0-e220-395b-95ef-38117def66cb	16978883	0	1
Albuquerque RJ	c4dbfd0e-719e-3581-bb85-1cb7be1af970	16632202	0	1
Alcauter S	5f4c4ec1-13ef-31e6-9009-ead075c322d7	21147232	0	1
Alce G	b3b001ad-8a0d-3f7e-aee8-bc88317cf660	17284202,19709644	0	2
Alda M	d15958ed-90e0-3af0-83e2-f81f56c75e89	22818781	1	1
Alderweireldt AS	228ef1a4-8c67-3695-a4fd-b2d695bfe118	21500314	0	1
Aldhafeeri FM	36cf5392-cba7-35df-b721-f715d41ddc34	22326384	0	1
Alegre M	1235573a-5ffd-39d9-87e6-296e07a3935a	17060366	0	1
Alem-Mar e Silva LC	dfd6b81d-82ec-31fb-838b-d2a29df54b22	18329672	0	1
Aleman A	b1707107-36a3-3311-a805-0cb9c9d20fbb	21440642,23620758,20888847,24148912,18985147,20188516,22036677,21878394,23874445,22226903,22563009,18261933,20060103,15269107,19242539,18372164,20071145,23681887,20692648,22206877,22370252,21156209,18329779,21737434,19683585,22258799	1	26
Alemanno F	e6608d0a-b84c-33c6-9780-17e539162cdd	21126586	0	1
Alessandrini F	adee2585-542f-377f-b8d2-e45f29a4f323	21741301	0	1
Alessandrini M	796a2ef3-e29d-360d-9e4e-ed433c6d0b12	23505435	0	1
Alessio A	2469567d-1adb-32b3-9e19-7a89496f46ce	17370345	0	1
Alex Dresner M	e06df9fc-32b6-3b18-9118-a5ecb30bcaac	17329425	0	1
Alex Rubino I	c781e4fc-ee61-3c7d-83e8-77f4c475c749	23158777	0	1
Alexander AL	08ffeda4-7e3b-381e-9669-d9000cb1f7a1	16624961,20298794,20534842,16099178,16226349,23082321,20932911,17493834,23185305,20541839,22701578	1	11
Alexander DC	cea95b28-5f14-33d9-9210-86163357d1c7	16632380,22484410,16702192,17400477	1	4
Alexander GE	ed6a1442-04a6-3fa5-958e-13cc9c289f9d	19948227,18280754,22405043,19349228,19631758,16733091,19796692,16226349,20202480	1	9
Alexander I	74142061-7bd5-3f71-be33-8ebefadaa1a6	22427328	0	1
Alexander M	da0b2e5c-5a01-3861-8da8-c0595c312f52	17070707	0	1
Alexander MP	82cb7d8e-d078-34ac-979c-ec4edff54e46	19162201	0	1
Alexander N	7406c7d3-3f1a-3a0b-92ae-39ab1c9f0bd1	22258800,22418015	0	2
Alexandre F	74d23a0e-ec96-3cec-be84-bf75e7b498f8	18037455	1	1
Alexandrov Y	3435180b-5734-39d7-896e-0cb61d32a17f	19957266	0	1
Alexiou K	81a21cd8-e670-3b4f-8333-b0b5dae29176	19948156	0	1
Alexoff D	ba889e26-91c7-325b-8378-63daa1e35804	20156571	0	1
Alfano B	e65944cb-1b48-3662-b750-1f8ebbbd4bf6	16203159	0	1
Alfonso H	194169fb-cb04-38fa-9718-d219866c56bb	21281718	0	1
Alger JR	3ca9e43e-05a4-3e96-ae64-027ded85d0a5	15525806	1	1
Alghamdi J	8a2be66b-74d9-3c17-877e-9b2cbe8e9213	22326384	0	1
Alho K	538d9a63-602b-308e-8c1a-5a13ca7b9585	17204433,20363236,16515772	1	3
Ali M	5e0a17f1-08e6-39e6-a9f7-7de6fbf960cc	19874903	0	1
Ali-Cherif A	377dd913-6d1b-3993-b005-984e337e4c26	14505331,15543553	0	2
Ali-Pacha L	db13b50e-a574-36fb-b78b-f9ce11f0f725	19696032	0	1
Alia-Klein N	44fd254f-f824-3360-a994-0c488e614910	19420266,22775285,20634975,17582746,17765877	0	5
Alink A	4ffac17c-73eb-3fb4-bd09-59c80a607974	21692141,17389911,18337398	0	3
Alizadeh BZ	f4ed6581-173e-3b5c-8a57-00dd0e339ca8	21156209	0	1
