First_Name.Middle_Name	Family_Name	Pubmed_Name	Category	Primary.Affiliation	Secondary.Affiliations	Researcher.ID.URL	RID	uuids
Ross L	Levine	Levine RL	Biology & Biochemistry	Mem Sloan Kettering Canc Ctr, USA				23c0dffb-d25b-48b4-80e0-182da593ba58
Suzanna E	Lewis	Lewis SE	Biology & Biochemistry	University of California, Berkeley, USA				9f0bb25e-dfc1-4af5-b8ab-f4fd6283b40d
David J	Lipman	Lipman DJ	Biology & Biochemistry	NIH, USA				0a2d5dee-4865-4545-b051-336fbf13acbb
Ian 	Longden	Longden I	Biology & Biochemistry	European Bioinformat Inst, UK				3f60634b-1200-48cd-922f-214a37e81c52
Rodrigo 	Lopez	Lopez R	Biology & Biochemistry	EMBL, UK				c2e6ce5f-1cc5-4795-aa2c-894d423c7b00
Roderick 	MacKinnon	MacKinnon R	Biology & Biochemistry	Rockefeller University, USA				32891ee9-bac2-4b8b-8cfc-42173229051d
Thomas L	Madden	Madden TL	Biology & Biochemistry	NIH, USA				b0f94d9c-e993-4d48-8575-a8e4acf39d2b
Donna R	Maglott	Maglott DR	Biology & Biochemistry	NIH, USA				337627dc-eef5-4443-8219-a9d7bab59a86
Michele 	Magrane	Magrane M	Biology & Biochemistry	European Bioinformat Inst, UK				4a4055eb-2ffd-4d19-969e-26c2de6ad577
Matthias 	Mann	Mann M	Biology & Biochemistry	Max Planck Inst Biochem, Germany	University of Copenhagen, Denmark			019d09f8-dc18-482a-921e-7114061cc22e
Aron 	Marchler-Bauer	Marchler-Bauer A	Biology & Biochemistry	NIH, USA				79fdf56c-4773-4607-b6ce-a42e47d71de7
Maria Jesus	Martin	Martin M	Biology & Biochemistry	European Bioinformat Inst, UK				b13e1b88-5926-4c79-a072-1d1330ea7db6
Laurence R	Meyer	Meyer LR	Biology & Biochemistry	University of California, Santa Cruz, USA				d9cecdd1-7d7b-409e-8db7-308965e915ca
Jeffrey C	Miller	Miller JC	Biology & Biochemistry	Sangamo BioSci Inc, USA				0e694e45-60f7-4ca6-bfab-05d9537a8132
